FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 42 Time= 0.020480 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 8.567e-8 MAX ERR= 8.567e-8 TIME ERR= 0.002043 MEM=709
 +00:00:00| Step 43 Time= 0.021049 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 3.540e-8 MAX ERR= 3.540e-8 TIME ERR= 0.002055 MEM=709
 +00:00:00| Step 44 Time= 0.021618 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 8.475e-9 MAX ERR= 8.475e-9 TIME ERR= 0.002014 MEM=709
 +00:00:00| Step 45 Time= 0.022187 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 4.792e-8 MAX ERR= 4.792e-8 TIME ERR= 0.001987 MEM=709
 +00:00:00| Step 46 Time= 0.022756 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 8.428e-8 MAX ERR= 8.428e-8 TIME ERR= 0.001959 MEM=710
 +00:00:00| Step 47 Time= 0.023325 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 1.173e-7 MAX ERR= 1.174e-7 TIME ERR= 0.001925 MEM=712
 +00:00:00| Step 48 Time= 0.023894 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 1.469e-7 MAX ERR= 1.469e-7 TIME ERR= 0.001884 MEM=712
 +00:00:00| Step 49 Time= 0.024463 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 1.727e-7 MAX ERR= 1.727e-7 TIME ERR= 0.001835 MEM=712
 +00:00:00| Step 50 Time= 0.025033 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 1.947e-7 MAX ERR= 1.947e-7 TIME ERR= 0.001779 MEM=712
 +00:00:00| Step 51 Time= 0.025602 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.127e-7 MAX ERR= 2.127e-7 TIME ERR= 0.001715 MEM=712
 +00:00:00| Step 52 Time= 0.026171 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.266e-7 MAX ERR= 2.266e-7 TIME ERR= 0.001644 MEM=712
 +00:00:00| Step 53 Time= 0.026740 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.364e-7 MAX ERR= 2.364e-7 TIME ERR= 0.001565 MEM=712
 +00:00:00| Step 54 Time= 0.027309 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.423e-7 MAX ERR= 2.423e-7 TIME ERR= 0.001480 MEM=712
 +00:00:00| Step 55 Time= 0.027878 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.442e-7 MAX ERR= 2.442e-7 TIME ERR= 0.001390 MEM=712
 +00:00:00| Step 56 Time= 0.028447 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.424e-7 MAX ERR= 2.424e-7 TIME ERR= 0.001293 MEM=712
 +00:00:00| Step 57 Time= 0.029016 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.370e-7 MAX ERR= 2.370e-7 TIME ERR= 0.001192 MEM=712
 +00:00:00| Step 58 Time= 0.029585 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.284e-7 MAX ERR= 2.284e-7 TIME ERR= 0.001087 MEM=712
 +00:00:00| Step 59 Time= 0.030154 Dt= 5.691e-4 Nodes=5 Cells=2 RMS ERR= 2.169e-7 MAX ERR= 2.169e-7 TIME ERR= 9.778e-4 MEM=712
 +00:00:00| Step 60 Time= 0.030793 Dt= 6.385e-4 Nodes=5 Cells=2 RMS ERR= 3.026e-7 MAX ERR= 3.026e-7 TIME ERR= 0.001168 MEM=712
 +00:00:00| Step 61 Time= 0.031431 Dt= 6.385e-4 Nodes=5 Cells=2 RMS ERR= 3.030e-7 MAX ERR= 3.031e-7 TIME ERR= 9.880e-4 MEM=712
 +00:00:00| Step 62 Time= 0.032148 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 4.317e-7 MAX ERR= 4.317e-7 TIME ERR= 0.001150 MEM=712
